x,y,z,x0,y0,z0
-2.10847,-0.460037,37.5643,0.997023,-0.0129052,-0.0760155
-2.20293,-0.449422,38.6066,0.996866,-0.0159035,-0.0774997
-2.24994,-0.474061,39.6403,0.996794,-0.012249,-0.0790656
-2.30564,-0.510327,40.676,0.99677,-0.0121276,-0.0793927
-2.42295,-0.508586,41.6951,0.996861,-0.00691643,-0.0788745
-2.5096,-0.509746,42.7162,0.996847,-0.00764805,-0.0789756
-2.59379,-0.523524,43.7252,0.996851,-0.00742954,-0.0789481
-2.67515,-0.544467,44.7296,0.996798,-0.00584231,-0.0797425
-2.75329,-0.550767,45.7302,0.996687,-0.00604725,-0.0811022
-2.81176,-0.528698,46.7299,0.996528,-0.00839754,-0.0828332
-2.86632,-0.543894,47.7259,0.996376,-0.00748601,-0.0847291
-2.96041,-0.544812,48.7105,0.996341,-0.00519419,-0.0853103
-3.06221,-0.55813,49.6856,0.996313,-0.00310027,-0.0857356
-3.1915,-0.570799,50.6615,0.996401,-0.0021726,-0.0847384
-3.29449,-0.57365,51.6397,0.996405,-0.00346862,-0.0846421
-3.36434,-0.585077,52.6162,0.99636,-0.0053434,-0.0850784
-3.43826,-0.571284,53.5859,0.996169,-0.0093569,-0.0869485
-3.54177,-0.579757,54.5458,0.996217,-0.0108488,-0.0862242
-3.61787,-0.593068,55.5085,0.996174,-0.0140342,-0.0862546
-3.70171,-0.5982,56.4658,0.996142,-0.0131593,-0.0867615
-3.78583,-0.626695,57.4261,0.996078,-0.0153427,-0.0871418
-3.85078,-0.625006,58.3879,0.995853,-0.0164619,-0.0894709
-3.95334,-0.63502,59.3367,0.995886,-0.0134461,-0.0896108
-4.01736,-0.643837,60.2781,0.995732,-0.0119368,-0.0915144
-4.09315,-0.642371,61.2023,0.995553,-0.010022,-0.0936638
-4.17109,-0.657852,62.1164,0.995471,-0.00727354,-0.0947829
-4.27074,-0.67405,63.0247,0.995422,-0.00170719,-0.0955588
-4.39291,-0.66081,63.9179,0.995379,0.000179553,-0.096027
-4.47987,-0.681552,64.7993,0.995268,0.00406961,-0.0970789
-4.56577,-0.675374,65.6668,0.995113,0.00367749,-0.0986749
-4.66565,-0.671182,66.5191,0.994999,0.00540897,-0.0997384
-4.78224,-0.667667,67.3571,0.994931,0.00578311,-0.100393
-4.86381,-0.659472,68.1849,0.994781,0.00491351,-0.101914
-4.94801,-0.6637,69.0001,0.994691,0.00529474,-0.102772
-5.0461,-0.663771,69.8017,0.994558,0.00806444,-0.103871
-5.12984,-0.662187,70.5943,0.99428,0.00854526,-0.106464
-5.34416,-0.613356,71.3421,0.994538,0.0111351,-0.103778
-5.44496,-0.609414,72.092,0.994484,0.0152227,-0.103782
-5.55802,-0.600751,72.8172,0.994482,0.0157406,-0.10372
-5.65895,-0.625383,73.5256,0.994407,0.0144393,-0.104629
-5.66442,-0.627657,74.2239,0.994047,0.0148515,-0.107932
-5.80317,-0.618565,74.8895,0.994115,0.0168271,-0.107018
-5.87368,-0.633237,75.5454,0.993979,0.016996,-0.108247
-5.94875,-0.65209,76.1746,0.993922,0.0153162,-0.109017
-6.00641,-0.660284,76.786,0.994012,0.00699784,-0.109044
-6.07329,-0.68679,77.3784,0.994158,0.00290975,-0.107898
-6.13185,-0.705094,77.9596,0.994462,0.00567264,-0.104944
-6.20247,-0.717555,78.5277,0.994866,0.0101084,-0.100697
-6.23859,-0.732406,79.0833,0.995341,0.00898892,-0.095993
-6.28477,-0.738423,79.6254,0.995911,0.00529321,-0.0901837
-6.31617,-0.752534,80.1563,0.996627,0.000696004,-0.0820632
-6.34511,-0.759319,80.6681,0.997427,0.0042207,-0.0715611
-6.33956,-0.761136,81.1701,0.998308,0.00905936,-0.057444
-6.36267,-0.757452,81.6576,0.999117,0.0138188,-0.0396795
-6.33163,-0.78202,82.1306,0.999743,0.0116279,-0.019485
-6.31645,-0.783489,82.5906,0.999948,0.00789889,0.00644221
-6.28343,-0.75544,83.0436,0.999337,0.00739545,0.0356494
-6.26052,-0.75893,83.4931,0.997457,0.0069377,0.0709295
-6.20688,-0.767909,83.9275,0.993883,0.00679049,0.110227
-6.11186,-0.770753,84.3558,0.9885,0.00650095,0.15108
-6.02975,-0.778594,84.7797,0.980158,0.00525118,0.198148
-5.90178,-0.787899,85.1724,0.968905,0.00702766,0.247333
-5.74958,-0.799403,85.5601,0.953773,0.00641127,0.300459
-5.56437,-0.798429,85.9112,0.934797,0.0058905,0.355134
-5.3624,-0.809185,86.26,0.911299,0.00660815,0.411691
-5.1502,-0.808583,86.5954,0.88245,0.00618293,0.470366
-4.92097,-0.814992,86.8966,0.849264,0.0033832,0.527957
-4.66804,-0.811737,87.1899,0.812429,0.00270927,0.583054
-4.4097,-0.810022,87.4597,0.772382,0.00208529,0.635155
-4.12236,-0.815665,87.7206,0.729495,0.00495876,0.683969
-3.80229,-0.801232,87.9315,0.687133,0.00179381,0.72653
-3.48489,-0.793726,88.133,0.641182,-0.00198002,0.767386
-3.1442,-0.794607,88.3021,0.595772,-0.00687618,0.803124
-2.81741,-0.799728,88.4776,0.549337,-0.00373442,0.835592
-2.48249,-0.803638,88.6577,0.501214,0.00050448,0.865323
-2.12525,-0.827253,88.7884,0.456488,0.00328128,0.889724
-1.77652,-0.824812,88.9302,0.413035,-0.00365665,0.910708
-1.3961,-0.823017,89.0086,0.373885,-0.017583,0.927308
-1.02554,-0.796675,89.1119,0.338763,-0.0235758,0.940576
-0.655984,-0.782296,89.2214,0.30557,-0.0220396,0.951914
-0.279687,-0.79985,89.3168,0.275764,-0.00989277,0.961174
0.103645,-0.806315,89.4061,0.248289,-0.00498792,0.968673
0.502695,-0.823942,89.4678,0.223364,-0.0055272,0.974719
0.9136,-0.836958,89.4821,0.201963,-0.0123748,0.979315
1.33483,-0.823811,89.53,0.181731,-0.0185097,0.983174
1.76064,-0.806662,89.5842,0.162241,-0.0192785,0.986563
2.20611,-0.793886,89.6493,0.144147,-0.015777,0.989431
2.67048,-0.795288,89.7107,0.128234,-0.0129019,0.99166
3.14365,-0.798877,89.7575,0.113654,-0.0119634,0.993448
3.62997,-0.802016,89.796,0.0999931,-0.013165,0.994901
4.12719,-0.805042,89.8277,0.0882923,-0.0163646,0.99596
4.64136,-0.801911,89.8587,0.0781079,-0.0196215,0.996752
5.17135,-0.78932,89.8817,0.0703601,-0.0214516,0.997291
5.71681,-0.793497,89.9111,0.0648173,-0.0226635,0.99764
6.27963,-0.782183,89.9484,0.0587706,-0.0232112,0.998002
6.86254,-0.766069,89.9848,0.0519214,-0.0228158,0.998391
7.46455,-0.760496,90.0246,0.0472848,-0.0255681,0.998554
8.08281,-0.748567,90.0629,0.0438175,-0.0269791,0.998675
8.72262,-0.755151,90.0588,0.0415556,-0.0274398,0.998759
9.37647,-0.740051,90.0954,0.0388035,-0.0288724,0.99883
10.0499,-0.723298,90.118,0.0378217,-0.0332438,0.998731
10.7356,-0.692797,90.1239,0.038985,-0.0370894,0.998551
11.4421,-0.67199,90.1565,0.0414619,-0.0401721,0.998332
12.1642,-0.643956,90.1928,0.0450654,-0.043139,0.998052
12.9027,-0.611341,90.2037,0.049852,-0.0435971,0.997805
13.6598,-0.562076,90.2365,0.0545538,-0.043728,0.997553
14.4308,-0.536103,90.2697,0.0589667,-0.0444997,0.997268
15.2042,-0.498455,90.4167,0.0612629,-0.0426025,0.997212
15.9976,-0.461117,90.4612,0.0671822,-0.0426136,0.99683
16.7907,-0.43071,90.5869,0.0689008,-0.0400327,0.99682
17.5948,-0.426551,90.6347,0.0726201,-0.0379378,0.996638
18.4005,-0.39633,90.7195,0.0737727,-0.0334654,0.996713
19.2139,-0.371001,90.7771,0.0740927,-0.0311286,0.996765
20.0309,-0.371862,90.8468,0.0736962,-0.0286131,0.99687
20.8474,-0.342376,90.9216,0.0743223,-0.0276772,0.99685
21.6634,-0.324189,90.9905,0.0742492,-0.0296812,0.996798
22.479,-0.316505,91.0694,0.0731248,-0.0272442,0.996951
23.2915,-0.312426,91.1592,0.0722648,-0.0240138,0.997096
24.1036,-0.300395,91.2156,0.0731504,-0.0207751,0.997105
24.9131,-0.290975,91.2864,0.071642,-0.0183058,0.997262
25.7226,-0.291729,91.3675,0.0685027,-0.0139627,0.997553
26.5319,-0.300783,91.4318,0.0647096,-0.010854,0.997845
27.34,-0.283952,91.5259,0.0570086,-0.00904395,0.998333
28.1506,-0.299351,91.5874,0.0499841,-0.00479961,0.998738
28.9579,-0.307964,91.6201,0.0432544,-0.00567993,0.999048
29.7593,-0.324923,91.6596,0.0338943,-0.00341599,0.99942
30.5612,-0.332469,91.6543,0.0249292,-0.00333296,0.999684
31.3582,-0.348626,91.6957,0.0137348,-0.00264515,0.999902
32.1509,-0.346776,91.7055,0.00315663,-0.00179255,0.999993
32.943,-0.355103,91.6808,-0.0073226,-0.00283481,0.999969
33.7293,-0.36388,91.6417,-0.0175047,-0.0043063,0.999838
34.5092,-0.369135,91.6144,-0.0282503,-0.00501643,0.999588
35.2855,-0.363501,91.596,-0.0404615,-0.00432421,0.999172
36.0543,-0.370688,91.559,-0.0510228,-0.00507139,0.998685
36.8156,-0.367508,91.5286,-0.0610642,-0.00598744,0.998116
37.5672,-0.379656,91.4587,-0.0702722,-0.00691872,0.997504
38.3114,-0.377786,91.3893,-0.0789347,-0.00744081,0.996852
39.0495,-0.374503,91.3294,-0.0877835,-0.00758723,0.996111
39.7783,-0.374576,91.2514,-0.0951181,-0.00827848,0.995432
40.4975,-0.381988,91.1679,-0.100173,-0.0113796,0.994905
41.2122,-0.393215,91.0974,-0.104316,-0.0137383,0.994449
41.9135,-0.391953,91.0143,-0.107401,-0.0141494,0.994115
42.6003,-0.399158,90.9387,-0.108806,-0.0151275,0.993948
43.2652,-0.401514,90.8071,-0.10793,-0.0161784,0.994027
43.9222,-0.4001,90.7452,-0.107391,-0.0165785,0.994079
44.5586,-0.392843,90.6512,-0.103883,-0.0187212,0.994413
45.1796,-0.404683,90.5875,-0.0986015,-0.0189756,0.994946
45.7833,-0.403902,90.5479,-0.0908912,-0.0180252,0.995698
46.3679,-0.401687,90.5257,-0.0799782,-0.0176219,0.996641
46.9316,-0.383056,90.5479,-0.0682641,-0.0176481,0.997511
47.4749,-0.383538,90.5262,-0.0506621,-0.0166487,0.998577
48.0107,-0.381836,90.5177,-0.0288641,-0.0159205,0.999457
48.5382,-0.367324,90.5383,-0.00443369,-0.0161069,0.99986
49.0577,-0.368941,90.6066,0.0213659,-0.0160668,0.999643
49.5749,-0.352223,90.696,0.0520803,-0.0155327,0.998522
50.0944,-0.367909,90.7452,0.0913184,-0.0168542,0.995679
50.6022,-0.37414,90.8255,0.134057,-0.0164559,0.990837
51.1018,-0.36583,90.9463,0.179388,-0.0147116,0.983668
51.585,-0.372887,91.1287,0.224174,-0.0117635,0.974478
52.0419,-0.377454,91.3251,0.272832,-0.00872494,0.962022
52.4965,-0.384935,91.5314,0.326523,-0.0095346,0.945141
52.8703,-0.400978,91.854,0.378518,-0.013699,0.925492
53.2669,-0.4272,92.097,0.439084,-0.0168551,0.898288
53.6455,-0.423971,92.3922,0.496309,-0.0191691,0.867934
54.0038,-0.430727,92.6738,0.55495,-0.0189545,0.831668
54.3534,-0.451233,92.9984,0.611052,-0.0188592,0.791366
54.6849,-0.440396,93.3401,0.664364,-0.0206653,0.747123
54.9727,-0.441717,93.6892,0.713637,-0.0234621,0.700123
55.2464,-0.465294,94.0797,0.759597,-0.0272401,0.649823
55.4837,-0.461133,94.4946,0.801046,-0.0281093,0.597943
55.7088,-0.43178,94.8914,0.838367,-0.0235719,0.544597
55.906,-0.429936,95.3303,0.87021,-0.0231448,0.492137
56.0424,-0.428965,95.7929,0.896456,-0.0174531,0.442788
56.2032,-0.432629,96.2346,0.917584,-0.0132618,0.397321
56.3397,-0.422238,96.7059,0.933684,-0.00530199,0.358058
56.4594,-0.412047,97.17,0.946302,9.39E-05,0.323285
56.5802,-0.40157,97.6465,0.956256,0.00309641,0.292516
56.7184,-0.3801,98.1186,0.962696,-0.00348856,0.270561
56.836,-0.374502,98.6005,0.966872,-0.00596861,0.255193
56.9478,-0.372498,99.0954,0.970455,-0.00144793,0.241277
57.0536,-0.362645,99.6026,0.972771,0.00415453,0.231731
57.1623,-0.350826,100.117,0.974017,0.0122886,0.226142
57.2559,-0.343019,100.645,0.974572,0.0167076,0.22345
57.3839,-0.340016,101.175,0.974817,0.0165851,0.222388
57.5103,-0.335423,101.717,0.974287,0.0137807,0.224887
57.6571,-0.329344,102.262,0.973278,0.0100424,0.22941
57.7654,-0.330712,102.829,0.972192,0.0112794,0.233914
57.9215,-0.327275,103.405,0.971136,0.0167599,0.237938
58.063,-0.33233,103.998,0.969549,0.0202455,0.244059
58.2071,-0.33889,104.604,0.96845,0.0175483,0.248589
58.3974,-0.34805,105.208,0.967712,0.013513,0.251696
58.5212,-0.340257,105.843,0.96627,0.0135113,0.257175
58.7146,-0.342581,106.467,0.965699,0.00721929,0.259565
58.8936,-0.34858,107.104,0.965616,0.00486727,0.259928
59.0777,-0.338881,107.744,0.965765,0.00217932,0.259411
59.2577,-0.3359,108.398,0.966018,0.00285687,0.258457
59.4322,-0.335612,109.069,0.966633,0.00521272,0.256114
59.6163,-0.333621,109.758,0.967433,0.00397614,0.253096
59.7862,-0.326834,110.468,0.967614,0.0017685,0.252427
59.9543,-0.325716,111.188,0.968226,0.00425471,0.25004
60.1413,-0.314305,111.908,0.968758,0.00735008,0.247897
60.3037,-0.299907,112.639,0.969141,0.0124271,0.246195
60.4973,-0.288194,113.375,0.970285,0.0115644,0.241687
60.6746,-0.285375,114.128,0.971265,0.00928199,0.23782
60.8701,-0.295412,114.893,0.972241,0.00776621,0.233854
61.0641,-0.296563,115.667,0.973134,0.00372828,0.230208
61.2498,-0.290345,116.457,0.973592,0.00240565,0.228282
61.4431,-0.278077,117.265,0.97399,-0.00197177,0.226584
61.6297,-0.274583,118.075,0.974077,-0.00687867,0.226112
61.8387,-0.267317,118.889,0.974344,-0.00564125,0.224994
62.0229,-0.268177,119.707,0.974217,0.000207934,0.225611
62.1709,-0.251721,120.538,0.973996,0.00597997,0.226486
62.3226,-0.238798,121.374,0.973603,0.0142492,0.227805
62.4656,-0.228643,122.218,0.97254,0.0204504,0.231836
62.6495,-0.230448,123.06,0.971808,0.0228561,0.234662
62.8145,-0.210209,123.905,0.970818,0.0238104,0.23863
63.0147,-0.211942,124.745,0.970326,0.0223576,0.240764
63.2491,-0.214133,125.594,0.970277,0.0173078,0.241376
63.501,-0.230788,126.43,0.970391,0.00962732,0.241349
63.7586,-0.24082,127.262,0.970574,0.00804265,0.24067
63.9173,-0.237211,128.122,0.969554,0.0128615,0.24454
64.1322,-0.229885,128.97,0.969309,0.0155309,0.245354
64.323,-0.250095,129.818,0.968924,0.0197477,0.246569
64.5459,-0.251349,130.635,0.968836,0.0173709,0.247094
64.7449,-0.267466,131.448,0.968977,0.00997593,0.246948
64.9445,-0.284121,132.263,0.969092,0.00521728,0.246644
65.1432,-0.292899,133.093,0.969274,0.00429316,0.245945
65.3843,-0.297789,133.929,0.970049,0.00176643,0.242903
65.5886,-0.295493,134.766,0.970291,0.00097698,0.241938
65.7711,-0.284314,135.579,0.970418,0.00318253,0.24141
65.9608,-0.266218,136.376,0.970771,0.00872064,0.239849
66.1332,-0.254743,137.181,0.970881,0.00691581,0.239464
66.3362,-0.261788,137.986,0.971407,0.00268225,0.237405
66.5178,-0.273873,138.799,0.971989,0.00242323,0.235013
66.7359,-0.271714,139.591,0.973496,0.000929766,0.228703
66.9327,-0.271752,140.385,0.974706,0.00107758,0.223488
67.0977,-0.277589,141.2,0.975289,0.00682725,0.220825
67.2556,-0.278142,141.987,0.97565,0.0126938,0.218966
67.4458,-0.273483,142.785,0.976004,0.0151067,0.21723
67.6253,-0.270063,143.585,0.976571,0.0129187,0.214808
67.7824,-0.262332,144.384,0.976822,0.011724,0.213731
67.9647,-0.268692,145.173,0.977468,0.00945769,0.210873
68.1525,-0.273375,145.954,0.978717,0.00349147,0.205185
68.2973,-0.271058,146.751,0.979781,0.000718616,0.200074
68.4535,-0.283927,147.552,0.981071,-0.000470245,0.193649
68.6182,-0.270149,148.354,0.982289,-0.000512303,0.187371
68.7646,-0.267417,149.158,0.982982,-0.00202602,0.18369
68.8427,-0.242858,149.965,0.983521,0.00517035,0.180722
68.9743,-0.24288,150.756,0.984355,0.00744723,0.176039
69.0856,-0.250578,151.546,0.985439,0.00607147,0.16992
69.2174,-0.243634,152.341,0.986517,0.00211409,0.163644
69.3806,-0.246577,153.14,0.987996,0.00130182,0.154474
69.4864,-0.244265,153.956,0.989144,0.00749945,0.146757
69.6054,-0.253755,154.765,0.990387,0.0111384,0.137873
69.6301,-0.25907,155.577,0.991346,0.0149545,0.130422
69.721,-0.281182,156.388,0.992534,0.013273,0.121245
69.8105,-0.282532,157.206,0.993477,0.0143171,0.113129
69.8892,-0.295822,158.03,0.994319,0.0172875,0.105029
69.9943,-0.287884,158.854,0.995106,0.0222034,0.0962883
70.0464,-0.285783,159.678,0.99576,0.0228505,0.0891024
70.1113,-0.301349,160.499,0.996378,0.0215298,0.0822593
70.1564,-0.300355,161.322,0.996694,0.02103,0.0784723
70.2278,-0.301437,162.139,0.996966,0.0253194,0.073605
70.275,-0.324799,162.957,0.997168,0.0298595,0.06902
70.3217,-0.327682,163.773,0.997356,0.0303909,0.0660163
70.3861,-0.336219,164.606,0.997626,0.03033,0.0618294
70.4033,-0.328109,165.446,0.997727,0.0317123,0.0594501
70.4216,-0.325887,166.282,0.997739,0.0355138,0.0570535
70.4839,-0.329627,167.103,0.998111,0.0328862,0.0518914
70.5275,-0.336858,167.918,0.998696,0.0201929,0.0468814
70.565,-0.336384,168.735,0.999031,0.0185611,0.0399109
70.5795,-0.330378,169.563,0.999233,0.0214261,0.0327883
70.5681,-0.303475,170.397,0.99957,0.0163326,0.0243552
70.6137,-0.319966,171.233,0.999804,0.0114595,0.0161286
70.6372,-0.297097,172.073,0.999951,0.00164634,0.00975708
70.6424,-0.297699,172.916,0.999991,-0.00242262,0.00334568
70.6252,-0.311849,173.753,0.999988,-0.00428048,-0.0023934
70.5857,-0.314994,174.581,0.999885,-0.0125323,-0.00851153
70.5907,-0.316564,175.413,0.999635,-0.0223886,-0.0151195
70.5347,-0.320035,176.265,0.999623,-0.0182723,-0.0204908
70.4929,-0.323543,177.124,0.999627,-0.0087459,-0.0258829
70.4404,-0.326279,177.979,0.999556,-0.00385695,-0.0295559
70.3556,-0.306196,178.819,0.999478,-0.00468864,-0.0319778
70.304,-0.315623,179.656,0.999447,-0.00067498,-0.0332498
70.2415,-0.323297,180.493,0.999295,0.0097122,-0.0362552
70.2143,-0.335998,181.341,0.999224,0.00896601,-0.0383605
70.1857,-0.348366,182.199,0.999158,0.00303461,-0.0409043
70.1585,-0.343567,183.061,0.999131,0.00217471,-0.0416153
70.112,-0.354777,183.925,0.999135,0.00582817,-0.0411845
70.0785,-0.365312,184.781,0.999009,0.00634393,-0.0440497
70.0447,-0.378764,185.63,0.998888,0.00392866,-0.0469916
70.0371,-0.382732,186.476,0.998716,-0.00650018,-0.0502444
69.9946,-0.399784,187.324,0.998544,-0.0152062,-0.0517548
69.9467,-0.419027,188.184,0.998531,-0.0123355,-0.0527611
69.8876,-0.432542,189.046,0.998617,-0.0069189,-0.0521167
69.8477,-0.438733,189.896,0.998469,-0.00617545,-0.0549664
69.7944,-0.440275,190.735,0.998423,-0.00713243,-0.0556845
69.7425,-0.45617,191.571,0.99848,-0.00603358,-0.0547873
69.7093,-0.465232,192.411,0.998388,0.000411091,-0.0567497
69.6594,-0.475077,193.253,0.998328,0.00279503,-0.0577321
69.6057,-0.48625,194.091,0.998226,0.00543938,-0.0592819
69.5572,-0.487388,194.927,0.998147,0.00804535,-0.0603096
69.4913,-0.49025,195.758,0.99808,0.0115358,-0.0608521
69.4247,-0.47784,196.581,0.998176,0.00939102,-0.0596301
69.3845,-0.485016,197.395,0.998038,0.012135,-0.0614191
69.3216,-0.502841,198.209,0.997892,0.0146807,-0.0632121
69.2708,-0.507682,198.914,0.997767,0.0140452,-0.0652943
69.2213,-0.51709,199.621,0.997712,0.012153,-0.0665122
69.1808,-0.525871,200.327,0.997763,0.0071365,-0.0664669
69.1434,-0.523544,201.034,0.997715,0.00523344,-0.0673549
69.0947,-0.530348,201.741,0.997739,0.0072866,-0.0668092
69.0591,-0.554664,202.447,0.99778,0.00849495,-0.0660464
69.0266,-0.582375,203.153,0.997822,0.00644523,-0.0656528
68.9983,-0.601863,203.861,0.998004,0.000369749,-0.0631484
68.9391,-0.601607,204.566,0.99831,-0.00140342,-0.0580972
68.8835,-0.621385,205.272,0.998647,0.000293373,-0.0520014
68.8558,-0.633614,205.979,0.998909,0.00382137,-0.0465335
68.7946,-0.660866,206.683,0.999132,0.0117427,-0.0399592
68.8016,-0.644823,207.39,0.999316,0.0101022,-0.0355757
68.7887,-0.650581,208.097,0.999556,0.00842732,-0.028565
68.7644,-0.64584,208.805,0.999728,0.0106433,-0.0207509
68.7181,-0.657184,209.516,0.999831,0.0125073,-0.0134878
68.7401,-0.67846,210.164,0.999907,0.0117842,-0.00692566
68.7053,-0.691259,210.811,0.99996,0.00892978,0.000545691
68.7444,-0.693229,211.458,0.999987,-0.000459915,0.00504814
68.7555,-0.711741,212.094,0.999919,-0.00626169,0.0110714
68.7788,-0.708202,212.732,0.999891,-0.0058394,0.013531
68.7913,-0.715232,213.368,0.999892,-0.00255886,0.0144499
68.8843,-0.682795,214.007,0.999957,-0.00219987,0.00903227
68.8893,-0.682138,214.656,0.999962,-0.00244149,0.00841957
68.8757,-0.684482,215.313,0.999946,-0.000396842,0.0103577
68.883,-0.698226,215.964,0.999919,0.00748678,0.0102518
68.8725,-0.706342,216.614,0.999878,0.012339,0.00955748
68.8852,-0.712974,217.268,0.999917,0.0108468,0.00702305
68.9062,-0.724232,217.929,0.999983,0.00501635,0.00298946
68.9087,-0.74672,218.604,0.999975,0.00670867,-0.0021252
68.8865,-0.755617,219.29,0.999888,0.0136453,-0.00616937
68.8837,-0.76354,219.983,0.999905,0.00854784,-0.0107955
68.8818,-0.768065,220.676,0.99988,0.00108533,-0.015427
68.8875,-0.773635,221.358,0.999797,-0.00049145,-0.0201448
68.8605,-0.773842,222.03,0.999746,0.00364641,-0.0222274
68.8445,-0.773003,222.683,0.999666,0.00290248,-0.0256885
68.8305,-0.773815,223.338,0.999614,-0.00548543,-0.0272509
68.818,-0.774452,224.019,0.999508,-0.0135814,-0.0282778
68.8174,-0.76852,224.706,0.999313,-0.02012,-0.031131
68.7981,-0.771454,225.387,0.999227,-0.022216,-0.0324339
68.7835,-0.773457,226.069,0.999132,-0.0245115,-0.0336705
68.7623,-0.779956,226.744,0.998951,-0.0298909,-0.0346842
68.7439,-0.787408,227.43,0.998625,-0.0384378,-0.0356453
68.72,-0.793892,228.115,0.998552,-0.0397098,-0.0362951
68.6847,-0.802695,228.806,0.99853,-0.0399528,-0.036626
68.6469,-0.810405,229.488,0.998489,-0.0406669,-0.0369449
68.6184,-0.810632,230.17,0.998382,-0.0426447,-0.037626
68.5842,-0.809307,230.841,0.998207,-0.0466079,-0.0375657
68.5572,-0.820911,231.507,0.998152,-0.0475746,-0.0378092
68.5348,-0.836346,232.169,0.998253,-0.0452899,-0.0379405
68.5136,-0.846124,232.827,0.99832,-0.0433547,-0.0384348
68.4938,-0.866346,233.484,0.998227,-0.0453923,-0.0385039
68.4501,-0.873401,234.133,0.998075,-0.0483518,-0.0388436
68.4204,-0.895454,234.754,0.99816,-0.046582,-0.0388083
68.4103,-0.905107,235.364,0.998132,-0.046405,-0.0397451
68.3669,-0.908367,235.961,0.997978,-0.0484544,-0.0411379
68.3531,-0.919652,236.531,0.997455,-0.0542946,-0.0462154
68.3263,-0.926042,237.079,0.996791,-0.0587677,-0.0543478
68.2977,-0.941738,237.609,0.996026,-0.0605822,-0.0652775
68.2497,-0.953696,238.129,0.994949,-0.0615048,-0.0793309
68.199,-0.964002,238.643,0.993252,-0.0615329,-0.0983102
68.1467,-0.979781,239.15,0.990709,-0.0634888,-0.12027
68.0534,-0.98625,239.653,0.98758,-0.0615939,-0.144538
67.9585,-0.982703,240.152,0.982859,-0.063224,-0.173178
67.8441,-0.996218,240.63,0.976448,-0.0647618,-0.205806
67.682,-1.0133,241.094,0.968835,-0.0602348,-0.240273
67.4998,-1.02784,241.523,0.959147,-0.0533876,-0.277826
67.2983,-1.02647,241.957,0.946448,-0.0472664,-0.319378
67.0944,-1.03524,242.387,0.930037,-0.0404946,-0.365228
66.8461,-1.04103,242.761,0.91167,-0.0300283,-0.409825
66.5781,-1.05223,243.135,0.88929,-0.0147089,-0.457107
66.308,-1.04668,243.502,0.862727,0.00135064,-0.505668
66.034,-1.03867,243.829,0.83255,0.0133429,-0.553789
65.755,-1.03676,244.17,0.796893,0.0219359,-0.603723
